old_title,new_title,old_handle,new_handle,old_seo_title,new_seo_title,old_seo_description,new_seo_description,products_count,product_sample,updated,error
Kosmetyki dla mam,Kosmetyki dla mamy,kosmetyki-dla-mam,kosmetyki-dla-mamy,,Kosmetyki dla mamy | MamaPack,,"Kosmetyki dla mamy: szampony, odżywki, antyperspiranty, pomadki i kremy do pielęgnacji w czasie macierzyństwa.",6,"SZAMPON z keratyną  - Kozie Mleko - Ziaja - 400ml | ODŻYWKA  z keratyną (kondycjonująca) - Kozie Mleko - Ziaja - (200 ml) | Ziaja - antyperspirant | SKARB MATKI - Pomadka Ochronna - dla dzieci o smaku malinowym - 6,5g | SKARB MATKI - Pomadka Ochronna - dla dzieci o smaku kokosa i wanilii - 6,5g | ARDO - Krem przeciw rozstępom",True,
Koszule nocne,Koszule do karmienia,szlafroki-i-koszule-nocne,koszule-do-karmienia,koszule do porodu,Koszule do karmienia i porodu | MamaPack,Wygodne i praktyczne koszule do szpitala. Wybierz luźny krój i naturalne materiały dla maksymalnego komfortu.,"Wygodne koszule do karmienia i porodu Doctor Nap. Luźne fasony, miękkie materiały i praktyczny dostęp do piersi.",10,Koszula do karmienia -( DEEP BLUE) - Doctor Nap | Koszula do karmienia -(DARK_GREY) -Doctor Nap | Koszula do karmienia -(GRAPHITE) - Doctor Nap | Koszula do karmienia - (SWEET_PINK) - Doctor Nap | Koszula do karmienia - (beige) - Doctor Nap | Koszula do karmienia -( różowy) - Doctor Nap | TCB.9505 - Koszula do karmienia - XXL - (PINK) - Doctor Nap | TCB.9505 - Koszula do karmienia - L - (GRAPHITE) - Doctor Nap,True,
Krem/mleczko/olejek dla dzieci,"Kremy, mleczka i olejki dla dzieci",krem-mleczko-olejek-dla-dzieci,kremy-mleczka-olejki-dla-dzieci,Kremy i olejki dla noworodka,"Kremy, mleczka i olejki dla dzieci | MamaPack",Delikatne kremy i olejki dla ochrony skóry noworodka. Pomagają w walce z suchością i łuszczeniem.,"Kremy, balsamy, mleczka i oliwki dla niemowląt. Delikatna ochrona i nawilżanie skóry dziecka od pierwszych dni.",9,Ziajka - krem do pielęgnacji dzieci i niemowląt | BAMBINO 83649 - Krem pielęgnacyjny z D-PANTENOLEM - 200ml | LINOMAG - BALSAM - dla dzieci i niemowląt - (200Ml) | CHICCO - Oliwka do masażu 0m+ (200ml) | SKARB MATKI- Oliwka Pielęgnacyjna - w żelu z witaminą E - 125ml | LINOMAG - KREM BOBO A+E - (50ML) | NIVEA BABY - Mój pierwszy KREM  - (75 ml) | NIVEA BABY (80590) -  Oliwka pielęgnacyjna - (200 ml),True,
Krem/prysypka pod pieluchę,Kremy i pudry pod pieluchę,krem-prysypka-pod-pieluche,kremy-i-pudry-pod-pieluche,Krem pod pieluchę dla niemowląt,Kremy i pudry pod pieluchę | MamaPack,Specjalny krem pod pieluchę zapobiegający odparzeniom. Stosuj na czystą skórę i wietrz skórę regularnie.,"Kremy, maści i pudry pod pieluchę dla niemowląt. Ochrona skóry przed wilgocią, otarciami i odparzeniami.",5,Ziajka - maść na pośladki przeciw odparzeniom - 50 ml | LINOMAG - Krem z tlenkiem Cynku - (50 ML) | LINOMAG - Puder dla dzieci i niemowląt - (100g) | SKARB MATKI - Pielęgnacyjny Krem Ochronny - dla niemowląt i dzieci - 75ml | SKARB MATKI - Puder - dla niemowląt i dzieci - 120g,True,
Laktatory,Laktatory,laktatory,laktatory,,Laktatory ręczne i kolektory mleka | MamaPack,,Laktatory ręczne i kolektory mleka dla mamy karmiącej. Wygodne wsparcie przy odciąganiu i przechowywaniu mleka.,3,AKUKU A0306 - Laktator ręczny | AKUKU A0399 - Kolektor na mleko - (ręczny) | CANPOL 12/216 - Laktator - RĘCZNY - Basic light,True,
Leżaczki do wanny,Leżaczki i foteliki do kąpieli,lezaczki-do-wanny,lezaczki-i-foteliki-do-kapieli,,Leżaczki i foteliki do kąpieli | MamaPack,,"Leżaczki kąpielowe, foteliki, podnóżki i akcesoria Tega Baby do wygodniejszej kąpieli dziecka.",14,Tega Baby Leżaczek kąpielowy z wizerunkiem Sowa | Tega Baby Fotelik do kąpieli antypoślizgowy Sowa | Tega Baby Leżaczek kąpielowy z wizerunkiem Miś | Tega Baby Nakładka sedesowa miękka Miś | Tega Baby Fotelik do kąpieli antypoślizgowy Miś | Tega Baby Podnóżek antypoślizgowy Monsters | Tega Baby Fotelik do kąpieli antypoślizgowy Monsters | Tega Baby Leżaczek kąpielowy z wizerunkiem Meteo,True,
Majtki poporodowe,Majtki poporodowe,jednorazowe-majtki,majtki-poporodowe,Wygodne jednorazowe majtki poporodowe - oddychające i komfortowe,Majtki poporodowe jednorazowe i siateczkowe | MamaPack,"Jednorazowe majtki poporodowe wykonane z oddychających materiałów, idealne do mocowania wkładek poporodowych. Zamów teraz i poczuj komfort!","Majtki poporodowe jednorazowe, siateczkowe i wielorazowe. Komfortowe mocowanie wkładek po porodzie.",8,"AKUKU A0549(50, 51, 52) - Majtki jednorazowe poporodowe - (5 szt.) | HORIZON-MAJTKI POPORODOWE SIATKA (2 szt.) | CANPOL 73/001(2)  - Wielorazowe majtki poporodowe - SIATECZKOWE - (2szt.) | AKUKU A0234(5) - Majtki siateczkowe wielorazowe - (2 szt) | CANPOL 16/000(1) - Majtki dla kobiet w ciąży i po porodzie - (2 szt.) | B.O.503  - Wielorazowe majtki - SIATECZKOWE -  2 szt. | B.O.500 - Jednorazowe Majtki poporodowe - 5 szt. | Majtki ciążowe Medela - Rozmiar L",True,
Osłonki laktacyjne,Osłonki laktacyjne,oslonki-laktacyjne,oslonki-laktacyjne,Osłonki laktacyjnOsłonki laktacyjne - ochrona i komfort podczas karmieniae ,Osłonki laktacyjne silikonowe | MamaPack,Osłonki laktacyjne z miękkiego silikonu chronią brodawki i ułatwiają karmienie. Idealne przy bolesnych brodawkach lub problemach z przystawieniem dziecka.,Silikonowe osłonki laktacyjne do karmienia piersią. Pomoc przy bolesnych brodawkach i trudnościach z przystawieniem.,4,LOVI 5/605(606) - Silikonowe osłonki piersi Skin Touch (2 szt.) | B.O.823 - Silikonowe osłonki na piersi NATURAL NURSING | LANSINOH - Osłonki laktacyjne Nipple Shields - 2 sztuki (1 para) | AVENT SCF153/01-03 - Osłonki na piersi,True,
Pielęgnacja piersi (Lanolina),Pielęgnacja piersi i lanolina,pielegnacja-piersi,pielegnacja-piersi-lanolina,Pielęgnacja piersi po porodzie,Pielęgnacja piersi i lanolina po porodzie | MamaPack,Specjalne kremy i nakładki do pielęgnacji sutków po porodzie. Zapobiegaj bolesności i pęknięciom dzięki sprawdzonym metodom.,"Lanolina, kremy, kompresy i chusteczki do pielęgnacji piersi podczas karmienia. Wsparcie dla brodawek po porodzie.",8,CANPOL 14/000 - Maść lanolinowa - do brodawek sutkowych - (7 g) | AKUKU A0534 - Kompresy żelowe na piersi - (2 szt) | CHICCO- CHUSTECZKI DO PIELĘGNACJI PIERSI 16SZT | CHICCO- CHUSTECZKI DO PIELĘGNACJI PIERSI 72SZT | CHICCO 00002256400000 - Krem na brodawki - (30 ml) | LANSINOH - Lanolina HPA - krem na brodawki sutkowe - (40 ml) | MEDELA 101041323 - Purelan maść LANOLINOWA- (7g) | ARDO CARE - Lanolina 10ml,True,
Pieluszki jednorazowe (Pampersy),Pieluszki jednorazowe,podguzniki,pieluszki-jednorazowe,Pierwsze pieluchy dla noworodka,Pieluszki jednorazowe dla noworodka | MamaPack,Idealne pieluchy na pierwsze dni życia dziecka. Rozmiar 1 lub 0 dla wcześniaków.,"Pieluszki jednorazowe dla noworodków i wcześniaków: rozmiary 0, 1, S i M. Wybierz pieluszki na pierwsze dni.",7,DADA Extra Care -PIELUSZKI JEDNORAZOWE-  Rozm. 1 - (2-5 kg) - 26 szt. | Huggies Extra Care – PIELUSZKI JEDNORAZOWE -  Rozmiar 1 - (2–5 kg) - 26 szt. | BAMBOOLOVE - PIELUSZKI JEDNORAZOWE - Rozmiar S - (25 szt.) - (3-8kg) | BELLA BABY HAPPY NEWBORN- pieluszki jednorazowe (1) -  2-5kg -  (42szt.) | BAMBOOLOVE - PIELUSZKI JEDNORAZOWE - Rozmiar XS - (27szt) - (2-4kg) | BELLA HAPPY 0 BEFORE NEWBORN -  Pieluszki dla wcześniaków  do 2 kg - (46 szt.) | BAMBOOLOVE - PIELUSZKI JEDNORAZOWE - Rozmiar M - (24 szt.) - (6-11kg),True,
Pieluszki tkaninowe,Pieluszki tkaninowe,pieluchy-reczniki-koce,pieluszki-tkaninowe,Pieluchy i ręczniki dla niemowląt,Pieluszki tkaninowe dla niemowląt | MamaPack,"Niezbędne pieluchy i ręczniki dla niemowląt. Miękkie, chłonne, idealne po kąpieli.","Pieluszki tetrowe, muślinowe, flanelowe i bambusowe. Miękkie pieluszki wielorazowe do pielęgnacji dziecka.",21,Pieluszka muślinowa - ulewajka - 38x38 cm -  100% bawełna | AKUKU A0258 - Podkład Peva 55x70cm -  Sowy Szare | AKUKU A0254 - Podkład Peva 55x70 cm -  Sowy Różowo-Niebieskie | Pieluszka tetrowa - DRUK - (70X80) - mix kolorów | Pieluszka tetrowa - BIAŁA -  (70X80) - 1 szt. | Pieluszka tetrowa wielorazowa  - BIAŁA  - (40x80 cm) - 1 szt. | FARA - Pielucha FLANELOWA   - JEDNOKOLOROWA - (70x80cm) | ATK (MINIANIA) - Pielucha FLANELOWA - BIAŁA  - (80x70cm) - 1 szt.,True,
Podkłady higieniczne,Podkłady higieniczne,podklady-higieniczne,podklady-higieniczne,,Podkłady higieniczne i do przewijania | MamaPack,,"Podkłady higieniczne jednorazowe dla mamy i dziecka. Ochrona łóżka, pościeli i przewijaka przed zabrudzeniami.",8,SENI SOFT SUPER - Podkłady higieniczne 40x60cm - (5 sztuk) | AKUKU A0501 - Podkład jednorazowy 60x90 cm SENSITIVE  - (10 szt.) | ..CANPOL 78/002 - Wielofunkcyjne  PODKŁADY HIGIENICZNE jednorazowe - 60x90 -  (10szt.) - z naklejką | CANPOL 78/006 - Wielofunkcyjne podklady higieniczne - (60x60 cm) | ..B.O.509 - Podkład do przewijania  60x90cm - (10 szt.) | ..B.O.513 - Podkład do przewijania 40x60cm - (10szt.) | Bocioland - PODKŁAD JENORAZOWY - 60X90cm - (10szt) | AKUKU A0144 - Podkład higieniczny jednorazowy 60x90 cm -  proMED - (20 szt.),True,
Podpaski poporodowe,Podpaski poporodowe,higieniczne-wkladki,podpaski-poporodowe,Specjalne wkładki poporodowe - wysoka chłonność i komfort,Podpaski i podkłady poporodowe | MamaPack,Poznaj higieniczne wkładki poporodowe o wysokiej chłonności i specjalnym anatomicznym kształcie. Idealne na pierwsze dni po porodzie. Zamów teraz!,"Podpaski poporodowe, podkłady poporodowe i wkładki po porodzie. Wysoka chłonność na pierwsze dni połogu.",9,BELLA - Podkład higieniczny MAMMA - 34x11 cm z folią - (10 szt.) | AKUKU A0069 - Podkład poporodowy - SLIM | CANPOL 78/008 - Dyskretne podpaski poporodowe - ze Skrzydełkami Night- (8 szt. ) | CANPOL 73/003 - Wysokochłonne podkłady poporodowe - (10szt.) | ..CANPOL 78/001 - Oddychające podkłady poporodowe NA NOC -  (10szt.) | CANPOL 78/007 - Dyskretne podpaski poporodowe - ze Skrzydełkami Day - (10 szt.) | AKUKU A0369 - Podkłady poporodowe - (10szt.) | B.O.599 - Podkłady poporodowe NIGHT & DAY - (10szt.),True,
Produkty papierowe,Produkty papierowe,produkty-papierowe,produkty-papierowe,Papier toaletowy i chusteczki,Produkty papierowe i jednorazowe | MamaPack,Praktyczne produkty papierowe na pobyt w szpitalu. Wilgotny papier toaletowy przynosi ulgę po porodzie.,"Produkty papierowe do szpitala i domu: papier, chusteczki, jednorazowe ręczniki i nakładki na toaletę.",7,Canpol 78/025 - Jednorazowe RĘCZNIKI – ZESTAW 2 szt.  - (140×70 cm + 70×30 cm) | AKUKU A0030 - Nawilżany papier toaletowy - (50 szt.) | CANPOL 1/658 - SUCHE CHUSTECZKI BAMBUSOWE dla niemowląt - (100 szt.) | CANPOL 1/661 -  Ręczniki bambusowe dla niemowląt i dzieci (20x20cm) - 120szt. | Canpol 78/026 - Jednorazowe spłukiwalne nakładki na toaletę - (10 szt. ) | Jednorazowe nakładki na toaletę -  Biodegradowalne podkładki - (6 szt.) | Nakładka sedesowa jednorazowa - 1 szt.,True,
"Płatki, patyczki kosmetyczne (produkty z waty)",Płatki i patyczki kosmetyczne,produkty-z-waty,platki-i-patyczki-kosmetyczne,Waciki dla mamy i dziecka,Płatki i patyczki kosmetyczne dla niemowląt | MamaPack,Waciki do pielęgnacji skóry mamy i dziecka. Niezbędne do przemywania twarzy i pielęgnacji pępka.,"Płatki bawełniane, patyczki higieniczne i waciki dla niemowląt. Delikatna pielęgnacja buzi, uszu i pępka.",7,Chusteczki dezynfekcyjne nasączone alkoholem 70% - (30 x 30 mm) - 4 szt. | Kindii Pure -  Płatki Bawełniane Kosmetyczne Dla Niemowląt - (60szt) | KINDII PURE KIN000017 - PATYCZKI dla niemowląt (60szt.) | AKUKU A0003 - Płatki kosmetyczne dla niemowląt - ( 0m+ ) - 60szt. | AKUKU A0710 - Bezpieczne PATYCZKI do uszu dla niemowląt - (60 szt.) | Bella Baby Happy Papierowe Patyczki Higieniczne 56Szt | CANPOL 3/115 - Bezpieczne patyczki dla niemowląt - (55 szt.),True,
Razem taniej,Razem taniej,razem-taniej,razem-taniej,Razem taniej - pakiety promocyjne | MamaPack,Razem taniej - zestawy promocyjne | MamaPack,"Promocyjne pakiety produktów MamaPack w lepszej cenie niż osobno. Sprawdź tematyczne mini zestawy do pielęgnacji, higieny i codziennych zakupów.","Zestawy promocyjne MamaPack w lepszej cenie niż osobno. Sprawdź pakiety produktów do pielęgnacji, higieny i codziennych zakupów.",4,Babyono - ZESTAW WYPRAWKOWY dla mamy - 5 produktów | Canpol - ZESTAW WYPRAWKOWY do szpitala - 5 produktów | Zestaw Wyprawkowy MOUNTAINS Yellow – (4 elementów) | Canpol - Kolekcja GOOSE - zestaw 3m+ (4 elementów),True,
Ręczniki do kąpieli,Ręczniki do kąpieli,reczniki-do-kapieli,reczniki-do-kapieli,,Ręczniki do kąpieli dla niemowląt | MamaPack,,"Ręczniki kąpielowe i okrycia z kapturkiem dla niemowląt. Miękkie, chłonne tekstylia po kąpieli dziecka.",11,"AKUKU A1231(3,8) - RĘCZNIK kąpielowy - z kapturkiem - (80 x 80 cm) | B.O.1553 - Okrycie kąpielowe z kapturkiem - Bambusowe -  100x100cm | DUET BABY 547 - OKRYCIE KĄPIELOWE z kapturkiem + KOCYK dla niemowląt | ALBERO MIO C015 - RĘCZNIK kąpielowy - z kapturkiem - (100 x 100 cm) | AKUKU A0664 - RĘCZNIK kąpielowy z kapturkiem - frotte - (100 x 100 cm) | MATEX - Okrycie kąpielowe PRESTIGE BUNNY - WAFEL-  (rozmiar: 70x140)  RÓŻOWY | MATEX - Okrycie kąpielowe PRESTIGE BUNNY - WAFEL- (rozmiar: 70x140) - ZIELONY | AKUKU A1231 - Okrycie kąpielowe -( 80x80 cm) - 100% bawełna - ecru",True,
Rożki / kocyki,Rożki i kocyki dla niemowląt,kocyki,rozki-i-kocyki-dla-niemowlat,,Rożki i kocyki dla niemowląt | MamaPack,,"Rożki niemowlęce, kocyki bambusowe i bawełniane. Miękkie otulenie dla dziecka od pierwszych dni.",21,"Skarpetki niemowlęce - z misiami - (0–3 m) | Rożek niemowlęcy Teddy - standard 80x80 cm - DWUSTRONNY - bawełna | Rożek niemowlęcy MUŚLINOWY - 75x75 cm - z kokardą - bawełna | Rożek niemowlęcy MIX - standard 80x80 cm - DWUSTRONNY - bawełna | B.O.1673 - Kocyk Bambusowy - Dzianina | B.O.1647/(1,2,3) - Kocyk  bawełniany - Dzianinynowy | Rożek niemowlęcy - standard 75x75 cm -(MIMINU DESIGN Misie błękit) - bawełna 100% | Rożek niemowlęcy - standard 75x75 cm - (MIMINU DESIGN Kotki ) - bawełna 100%",True,
Smoczki,Smoczki,smoczki,smoczki,Nowoczesne smoczki dla niemowląt,Smoczki uspokajające dla niemowląt | MamaPack,Smoczki wspomagające karmienie piersią. Pomagają uspokoić dziecko podczas różnych sytuacji.,Smoczki uspokajające silikonowe i symetryczne dla niemowląt. Wybierz smoczek dopasowany do wieku dziecka.,32,AKUKU A0586 - Smoczek uspokajający 0-6m - NIEBIESKI | AKUKU A0587 - Smoczek uspokajający 0-6m - RÓŻOWY | CANPOL 24/001  SMOCZEK silikonowy - SYMETRYCZNY USPAKAJAJĄCY -(0-6 m) - biały | CANPOL 34/920 - Smoczek silikonowy - (0-6m) - symetryczny EXOTIC Lama | CANPOL 34/920 - Smoczek silikonowy - SYMETRYCZNY - (0-6m) - Panda | CANPOL 34/920 - Smoczek silikonowy - (0+m) - SYMETRYCZNY - EXOTIC Koala | CANPOL 34/924 Smoczek uspokajający silikonowy - SYMETRYCZNY- (0-6 m) - Animals -(niebieski) | CANPOL 22/580 - SMOCZEK  - silikon orthodontic- SYMETRYCZNY -( 0m+) - beżowy,True,
Sól fizjologiczna / aspiratory do nosa,Sól fizjologiczna i aspiratory do nosa,sol-fizjologiczna-aspiratory-do-nosa,sol-fizjologiczna-aspiratory-do-nosa,,Sól fizjologiczna i aspiratory do nosa | MamaPack,,"Sól fizjologiczna, ampułki i aspiratory do nosa dla niemowląt. Delikatne oczyszczanie noska i okolic oczu.",2,ROZTWÓR FIZJOLOGICZNY - INhalacja soli - 5 AMPUŁEK | CANPOL 2/118 - Gruszka do nosa,True,
Szczotki i grzebienie,Szczotki i grzebienie dla niemowląt,szczotki-i-grzebienie,szczotki-i-grzebienie-dla-niemowlat,,Szczotki i grzebienie dla niemowląt | MamaPack,,Miękkie szczotki i grzebienie dla niemowląt. Delikatna pielęgnacja włosów i skóry główki dziecka.,10,AKUKU A0307 - Szczotka i grzebień - z naturalnym włosiem -  BIAŁA | CANPOL 2/417 - Szczotka + grzebień do włosów -(miękka) -  GOOSE | B.O.568/04 - Szczotka i grzebień do włosów - Naturalne super miękkie włosie - (RÓŻOWA ) TAKE CARE | B.O.568/03 - Szczotka i grzebień do włosów - Naturalne super miękkie włosie - (SZARA) TAKE CARE | CHICCO 00006569100000 - SZCZOTKA+GRZEBIEŃ - naturalne włosie -  RÓŻOWY | CHICCO 00006569200000 - SZCZOTKA+GRZEBIEŃ - naturalne włosie -  NIEBIESKA | CANPOL 2/424 - Szczotka + grzebień do włosów -(miękka) -  BIAŁA | CANPOL 2/424 - Szczotka + grzebień do włosów -(miękka) -  NIEBIESKA,True,
Szlafroki,Szlafroki dla mamy,szlafroki,szlafroki-dla-mamy,Wygodny bawełniany szlafrok do szpitala położniczego,Szlafroki dla mamy do szpitala | MamaPack,"Odkryj wygodny szlafrok do szpitala położniczego z bawełny, zapewniający komfort i łatwy dostęp do karmienia. Idealny dla przyszłych mam.","Szlafroki damskie do szpitala i po porodzie: bambusowe, muślinowe i wygodne modele Doctor Nap dla mamy.",3,Doctor Nap szlafrok damski suwak | Szlafrok damski bambusowy wiązany - Doctor Nap | SZLAFROK DAMSKI z delikatnego muślinu (wiązany) - Doctor Nap,True,
